VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;-0.160084226;19;10;0.19;0.682450932;1
SAR1;0;0.118718314;48;10;0.48;0.187119108;1
SAR1;0;0.057487318;17;10;0.17;0.687999885;1
SAR1;0;-0.136209494;4;10;0.04;0.867677628;1
SAR1;0;-0.126778766;29;10;0.29;0.507437127;1
SAR1;0;0.071185226;11;10;0.11;0.7755733;1
SAR1;0;0.014146603;12;10;0.12;0.768732794;1
SAR1;0;-0.033184419;16;10;0.16;0.716494136;1
SAR1;0;0.134338289;24;10;0.24;0.552770636;1
SAR1;0;-0.093635945;50;10;0.5;0.182075649;1
SAR1;0;-0.22566038;10;10;0.1;0.808970949;1
SAR1;0;-0.073547906;5;10;0.05;0.856995518;1
SAR1;0;-0.116728583;37;10;0.37;0.365818288;1
SAR1;0;-0.000912336;6;10;0.06;0.843901134;1
SAR1;0;0.180303466;7;10;0.07;0.815530193;1
SAR1;0;0.174061811;11;10;0.11;0.758390675;1
SAR1;0;-0.196330254;30;10;0.3;0.495996674;1
SAR1;0;0.319763479;9;10;0.09;0.752811362;1
SAR1;0;0.137494432;26;10;0.26;0.516772872;1
SAR1;0;-0.250217279;7;10;0.07;0.841505365;1
SAR1;0;-0.033787239;11;10;0.11;0.786700389;1
SAR1;0;0.012289781;12;10;0.12;0.768939096;1
SAR1;0;0.08549053;19;10;0.19;0.650044593;1
SAR1;0;-0.04919418;42;10;0.42;0.280581212;1
SAR1;0;0.1116314;18;10;0.18;0.661146229;1
SAR1;0;0.120036367;13;10;0.13;0.738784486;1
SAR1;0;-0.028688587;42;10;0.42;0.278518615;1
SAR1;0;-0.170637216;37;10;0.37;0.370710545;1
SAR1;0;-0.159345499;5;10;0.05;0.858979945;1
SAR1;0;0.005016513;22;10;0.22;0.613832778;1
SAR1;0;-0.270739761;20;10;0.2;0.673760826;1
SAR1;0;0.02052484;18;10;0.18;0.678032609;1
SAR1;0;0.190954577;22;10;0.22;0.572273309;1
SAR1;0;0.019107127;19;10;0.19;0.661999981;1
SAR1;0;0.075658134;13;10;0.13;0.746361467;1
SAR1;0;-0.254286053;23;10;0.23;0.623632851;1
SAR1;0;0.04621015;19;10;0.19;0.657474034;1
SAR1;0;-0.181298229;29;10;0.29;0.512691765;1
SAR1;0;-0.074112468;26;10;0.26;0.55507908;1
SAR1;0;-0.102587014;13;10;0.13;0.765726864;1
SAR1;0;-0.012393458;7;10;0.07;0.833483405;1
SAR1;0;-0.034077879;51;10;0.51;0.167821367;1
SAR1;0;-0.093040356;24;10;0.24;0.592595233;1
SAR1;0;-0.120119383;16;10;0.16;0.724931802;1
SAR1;0;-0.045289408;29;10;0.29;0.497598282;1
SAR1;0;-0.062569564;18;10;0.18;0.689019939;1
SAR1;0;-0.111913205;29;10;0.29;0.505831281;1
SAR1;0;-0.03573989;28;10;0.28;0.514195748;1
SAR1;0;0.187014771;45;10;0.45;0.213160615;1
SAR1;0;0.129555087;5;10;0.05;0.84701081;1
SAR1;0;-0.128826973;7;10;0.07;0.83854595;1
SAR1;0;-0.325490674;38;10;0.38;0.364357355;1
SAR1;0;0.002974224;34;10;0.34;0.402388435;1
SAR1;0;0.055395639;6;10;0.06;0.840627372;1
SAR1;0;0.174626755;9;10;0.09;0.787980705;1
SAR1;0;-0.246432546;4;10;0.04;0.869008274;1
SAR1;0;0.060559496;22;10;0.22;0.604031238;1
SAR1;0;-0.069809185;8;10;0.08;0.825333598;1
SAR1;0;-0.019349295;22;10;0.22;0.617555904;1
SAR1;0;-0.170944582;25;10;0.25;0.58298607;1
SAR1;0;-0.09419759;15;10;0.15;0.737299441;1
SAR1;0;-0.216162276;15;10;0.15;0.745356686;1
SAR1;0;-0.122234055;27;10;0.27;0.542824716;1
SAR1;0;0.219192658;3;10;0.03;0.865229687;1
SAR1;0;0.22332637;18;10;0.18;0.631128461;1
SAR1;0;-0.055360184;8;10;0.08;0.824583707;1
SAR1;0;-0.02336662;21;10;0.21;0.635115763;1
SAR1;0;0.053408103;29;10;0.29;0.481750192;1
SAR1;0;-0.340867088;8;10;0.08;0.832922513;1
SAR1;0;0.071038766;7;10;0.07;0.827647309;1
SAR1;0;-0.111324723;21;10;0.21;0.645705718;1
SAR1;0;-0.133893823;18;10;0.18;0.695934575;1
SAR1;0;-0.132938386;4;10;0.04;0.867625589;1
SAR1;0;0.04145292;7;10;0.07;0.829987746;1
SAR1;0;-0.249435633;20;10;0.2;0.672604449;1
SAR1;0;-0.217825486;29;10;0.29;0.515709244;1
SAR1;0;0.162359762;30;10;0.3;0.440767053;1
SAR1;0;-0.12436577;11;10;0.11;0.792864183;1
SAR1;0;-0.349925234;21;10;0.21;0.661391319;1
SAR1;0;-0.047301361;58;10;0.58;0.108393813;0
SAR1;0;0.111172624;23;10;0.23;0.575871195;1
SAR1;0;0.070069256;5;10;0.05;0.851025897;1
SAR1;0;-0.066529106;7;10;0.07;0.836192926;1
SAR1;0;-0.049940369;29;10;0.29;0.498231965;1
SAR1;0;-0.023469271;9;10;0.09;0.810896945;1
SAR1;0;-0.020226499;18;10;0.18;0.683871294;1
SAR1;0;0.059940868;5;10;0.05;0.851599955;1
SAR1;0;-0.033102961;11;10;0.11;0.786643493;1
SAR1;0;-0.086408268;3;10;0.03;0.87572277;1
SAR1;0;-0.18485805;35;10;0.35;0.406149325;1
SAR1;0;-0.101094988;8;10;0.08;0.826790196;1
SAR1;0;0.05952712;4;10;0.04;0.862394313;1
SAR1;0;-0.166528991;17;10;0.17;0.713616311;1
SAR1;0;0.065121695;45;10;0.45;0.227874689;1
SAR1;0;-0.001837053;21;10;0.21;0.631944993;1
SAR1;0;0.111187388;10;10;0.1;0.783907299;1
SAR1;0;0.052469231;7;10;0.07;0.829154603;1
SAR1;0;-0.346791107;30;10;0.3;0.505861721;1
SAR1;0;0.025091123;9;10;0.09;0.807032367;1
SAR1;0;0.044107121;29;10;0.29;0.483454319;1
SAR1;0;-0.166657747;20;10;0.2;0.667035345;1
SAR1;0;0.042796157;11;10;0.11;0.779111694;1
SAR1;0;0.011145293;9;10;0.09;0.808232767;1
SAR1;0;-0.040833428;12;10;0.12;0.774179662;1
SAR1;0;0.079284328;33;10;0.33;0.407015118;1
SAR1;0;-0.146357893;6;10;0.06;0.849150468;1
SAR1;0;0.077522196;21;10;0.21;0.61785341;1
SAR1;0;-0.231639364;20;10;0.2;0.671558802;1
SAR1;0;-0.117949753;20;10;0.2;0.662786062;1
SAR1;0;-0.009875134;20;10;0.2;0.649902518;1
SAR1;0;-0.088884524;52;10;0.52;0.161053106;1
SAR1;0;-0.230342731;18;10;0.18;0.702582054;1
SAR1;0;-0.108974187;9;10;0.09;0.815893108;1
SAR1;0;-0.273896169;32;10;0.32;0.46581289;1
SAR1;0;-0.346791107;30;10;0.3;0.505861721;1
SAR1;0;-0.033281372;8;10;0.08;0.823333246;1
SAR1;0;-0.28054006;34;10;0.34;0.430661668;1
