"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"311","SAR0_0.9",30,0.9,0.888205671591,660,0.733333333333,30,0.101964214686,0.0240216973969441,0
"312","SAR1_0.9",30,0.9,0.910133367599,630,0.7,30,0.0933529465381,0.027898069577841,0
"313","SAR0_0.9",30,0.9,0.863049897475,146,0.162222222222,30,0.0463098778143,0.231665143276865,0
"314","SAR1_0.9",30,0.9,0.8843738746,364,0.404444444444,30,0.0507339828967,0.100413244683566,0
"315","SAR0_0.9",30,0.9,0.893444426535,552,0.613333333333,30,0.0778139790004,0.0426666265746248,0
"316","SAR1_0.9",30,0.9,0.904923041644,706,0.784444444444,30,0.112712803606,0.0183138322234259,0
"317","SAR0_0.9",30,0.9,0.912797057279,562,0.624444444444,30,0.0781693354441,0.0396735308067837,0
"318","SAR1_0.9",30,0.9,0.871620651983,480,0.533333333333,30,0.0671189704972,0.0625835434321316,0
"319","SAR0_0.9",30,0.9,0.867490357104,330,0.366666666667,30,0.0494486405991,0.118393520329095,0
"320","SAR1_0.9",30,0.9,0.912559759028,854,0.948888888889,30,0.154577060254,0.00746569015306223,0
"321","SAR0_0.9",30,0.9,0.890375058574,402,0.446666666667,30,0.0543302109731,0.0854096922141624,0
"322","SAR1_0.9",30,0.9,0.89141912251,374,0.415555555556,30,0.0510241815802,0.0951888424542024,0
"323","SAR0_0.9",30,0.9,0.889966863418,210,0.233333333333,30,0.0409802216884,0.167100121596774,0
"324","SAR1_0.9",30,0.9,0.92084932747,680,0.755555555556,30,0.10507385799,0.0210478439271807,0
"325","SAR0_0.9",30,0.9,0.896973916268,708,0.786666666667,30,0.113618375536,0.018170317313914,0
"326","SAR1_0.9",30,0.9,0.88574672845,500,0.555555555556,30,0.0690235270277,0.0557130426730299,0
"327","SAR0_0.9",30,0.9,0.910833184474,224,0.248888888889,30,0.0387701859907,0.149989988981197,0
"328","SAR1_0.9",30,0.9,0.893372114353,844,0.937777777778,30,0.15168949227,0.00795950198517379,0
"329","SAR0_0.9",30,0.9,0.905699295851,406,0.451111111111,30,0.0532346308445,0.0815250127625168,0
"330","SAR1_0.9",30,0.9,0.898122885428,164,0.182222222222,30,0.0406271487104,0.192543915268989,0
"331","SAR0_0.9",30,0.9,0.887699159242,786,0.873333333333,30,0.135181351713,0.0114378930726783,0
"332","SAR1_0.9",30,0.9,0.868620024322,824,0.915555555556,30,0.146157605575,0.00904984588428636,0
"333","SAR0_0.9",30,0.9,0.887813240422,60,0.0666666666667,30,0.0617399797399,0.379596680191609,1
"334","SAR1_0.9",30,0.9,0.899577341981,210,0.233333333333,30,0.0398413392964,0.162372131796561,0
"335","SAR0_0.9",30,0.9,0.898404444297,706,0.784444444444,30,0.113025441419,0.0183698415436781,0
"336","SAR1_0.9",30,0.9,0.896551578201,732,0.813333333333,30,0.120027201968,0.0157931842398347,0
"337","SAR0_0.9",30,0.9,0.916719510035,756,0.84,30,0.125933302334,0.0136121607519284,0
"338","SAR1_0.9",30,0.9,0.861401075215,586,0.651111111111,30,0.0872969843127,0.0369403555412112,0
"339","SAR0_0.9",30,0.9,0.867431336908,740,0.822222222222,30,0.123281129694,0.0152137147168007,0
"340","SAR1_0.9",30,0.9,0.886733454646,468,0.52,30,0.0637650172364,0.0646338400288969,0
"341","SAR0_0.9",30,0.9,0.890599205771,148,0.164444444444,30,0.0424494150542,0.210824827421739,0
"342","SAR1_0.9",30,0.9,0.884331990712,588,0.653333333333,30,0.0858903919844,0.0357384755300578,0
"343","SAR0_0.9",30,0.9,0.908661847795,702,0.78,30,0.111474567409,0.0187060900640139,0
"344","SAR1_0.9",30,0.9,0.890536345551,666,0.74,30,0.103287417281,0.0231881504897262,0
