VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR6_0.7;10;0.7;0.695732225;46;0.46;30;0.114203643;0
SAR7_0.7;10;0.7;0.669751727;57;0.57;30;0.068401414;0
SAR8_0.7;10;0.7;0.748263374;63;0.63;30;0.045887771;0
SAR9_0.7;10;0.7;0.658203163;65;0.65;30;0.044603727;0
SAR0_0.7;10;0.7;0.718684553;28;0.28;30;0.224601879;0
SAR1_0.7;10;0.7;0.731639157;42;0.42;30;0.128255817;0
SAR2_0.7;10;0.7;0.741122884;67;0.67;30;0.037305685;0
SAR3_0.7;10;0.7;0.69074587;16;0.16;30;0.369168817;0
SAR4_0.7;10;0.7;0.727155423;32;0.32;30;0.191173318;0
SAR5_0.7;10;0.7;0.661732997;65;0.65;30;0.044473719;0
SAR6_0.7;10;0.7;0.693733079;97;0.97;30;0.006593984;0
SAR7_0.7;10;0.7;0.680474704;84;0.84;30;0.014539775;0
SAR8_0.7;10;0.7;0.734828288;97;0.97;30;0.006597864;0
SAR9_0.7;10;0.7;0.666250703;36;0.36;30;0.185283113;0
SAR0_0.7;10;0.7;0.74514513;93;0.93;30;0.008397115;0
SAR1_0.7;10;0.7;0.663082823;40;0.4;30;0.157593959;0
SAR2_0.7;10;0.7;0.722629707;91;0.91;30;0.009484453;0
SAR3_0.7;10;0.7;0.709158524;57;0.57;30;0.065398531;0
SAR4_0.7;10;0.7;0.734969203;90;0.9;30;0.010054721;0
SAR5_0.7;10;0.7;0.692620019;31;0.31;30;0.213371881;0
SAR6_0.7;10;0.7;0.739112045;51;0.51;30;0.084670231;0
SAR7_0.7;10;0.7;0.665184801;26;0.26;30;0.270986469;0
SAR8_0.7;10;0.7;0.684214559;93;0.93;30;0.008428671;0
SAR9_0.7;10;0.7;0.664753391;84;0.84;30;0.014600527;0
SAR0_0.7;10;0.7;0.72587134;46;0.46;30;0.108839845;0
SAR1_0.7;10;0.7;0.664465803;78;0.78;30;0.02090402;0
SAR2_0.7;10;0.7;0.662959542;24;0.24;30;0.292430242;0
SAR3_0.7;10;0.7;0.721574996;47;0.47;30;0.104736433;0
SAR4_0.7;10;0.7;0.681424447;30;0.3;30;0.226586715;0
SAR5_0.7;10;0.7;0.672162322;41;0.41;30;0.148567705;0
SAR6_0.7;10;0.7;0.721895499;20;0.2;30;0.295099328;0
SAR7_0.7;10;0.7;0.671190378;35;0.35;30;0.191086407;0
SAR8_0.7;10;0.7;0.704179646;15;0.15;30;0.372883887;1
SAR9_0.7;10;0.7;0.745946133;67;0.67;30;0.037159354;0
SAR0_0.7;10;0.7;0.709039507;34;0.34;30;0.184388788;0
SAR1_0.7;10;0.7;0.664762598;67;0.67;30;0.039620524;0
SAR2_0.7;10;0.7;0.7080177;47;0.47;30;0.106980982;0
SAR3_0.7;10;0.7;0.660034616;93;0.93;30;0.008441165;0
SAR4_0.7;10;0.7;0.746358951;19;0.19;30;0.288167172;0
SAR5_0.7;10;0.7;0.673161998;92;0.92;30;0.008967447;0
SAR6_0.7;10;0.7;0.7008037;75;0.75;30;0.024487713;0
SAR7_0.7;10;0.7;0.701889451;68;0.68;30;0.036410484;0
SAR8_0.7;10;0.7;0.668727266;36;0.36;30;0.184432937;0
SAR9_0.7;10;0.7;0.738648922;43;0.43;30;0.121418915;0
SAR0_0.7;10;0.7;0.660468223;69;0.69;30;0.035451782;0
SAR1_0.7;10;0.7;0.681766893;2;0.02;30;0.798093495;1
SAR2_0.7;10;0.7;0.719784055;43;0.43;30;0.12549855;0
SAR3_0.7;10;0.7;0.720230948;41;0.41;30;0.13653686;0
SAR4_0.7;10;0.7;0.707867032;57;0.57;30;0.065496711;0
SAR5_0.7;10;0.7;0.663820489;55;0.55;30;0.076526307;0
SAR6_0.7;10;0.7;0.673169427;72;0.72;30;0.029575381;0
SAR7_0.7;10;0.7;0.65610015;74;0.74;30;0.026578828;0
SAR8_0.7;10;0.7;0.659782262;58;0.58;30;0.065550774;0
SAR9_0.7;10;0.7;0.686833007;26;0.26;30;0.258688048;0
SAR0_0.7;10;0.7;0.727710395;86;0.86;30;0.012762463;0
SAR1_0.7;10;0.7;0.657084098;75;0.75;30;0.025046767;0
SAR2_0.7;10;0.7;0.729237641;80;0.8;30;0.018114174;0
SAR3_0.7;10;0.7;0.702426554;93;0.93;30;0.00841925;0
SAR4_0.7;10;0.7;0.690408988;62;0.62;30;0.051180417;0
SAR5_0.7;10;0.7;0.667268292;38;0.38;30;0.17033163;0
SAR6_0.7;10;0.7;0.684901525;64;0.64;30;0.046102992;0
SAR7_0.7;10;0.7;0.70656596;62;0.62;30;0.050389763;0
SAR8_0.7;10;0.7;0.73695709;7;0.07;30;0.523662788;1
SAR9_0.7;10;0.7;0.682431344;59;0.59;30;0.060647789;0
SAR0_0.7;10;0.7;0.673891184;22;0.22;30;0.306708887;0
SAR1_0.7;10;0.7;0.665520511;43;0.43;30;0.13743793;0
SAR2_0.7;10;0.7;0.682461273;29;0.29;30;0.234510366;0
SAR3_0.7;10;0.7;0.727674509;36;0.36;30;0.164500726;0
SAR4_0.7;10;0.7;0.734222068;33;0.33;30;0.181559303;0
SAR5_0.7;10;0.7;0.683617466;87;0.87;30;0.012133194;0
SAR6_0.7;10;0.7;0.716677378;83;0.83;30;0.015272271;0
SAR7_0.7;10;0.7;0.677530248;30;0.3;30;0.228418542;0
SAR8_0.7;10;0.7;0.661937655;87;0.87;30;0.012183824;0
SAR9_0.7;10;0.7;0.734325227;39;0.39;30;0.144342283;0
SAR0_0.7;10;0.7;0.69961635;72;0.72;30;0.029100238;0
SAR1_0.7;10;0.7;0.742393167;78;0.78;30;0.020208682;0
SAR2_0.7;10;0.7;0.668480317;80;0.8;30;0.018532395;0
SAR3_0.7;10;0.7;0.652077707;86;0.86;30;0.012973835;0
SAR4_0.7;10;0.7;0.728013454;29;0.29;30;0.212344313;0
SAR5_0.7;10;0.7;0.718275587;71;0.71;30;0.03042789;0
SAR6_0.7;10;0.7;0.65478307;25;0.25;30;0.287059459;0
SAR7_0.7;10;0.7;0.684090148;28;0.28;30;0.24230328;0
SAR8_0.7;10;0.7;0.749896694;32;0.32;30;0.181875687;0
SAR9_0.7;10;0.7;0.705145528;40;0.4;30;0.146318264;0
SAR0_0.7;10;0.7;0.713344307;28;0.28;30;0.227308817;0
SAR1_0.7;10;0.7;0.72529143;80;0.8;30;0.018141447;0
SAR2_0.7;10;0.7;0.706940024;79;0.79;30;0.019366052;0
SAR3_0.7;10;0.7;0.74601019;65;0.65;30;0.041365744;0
