Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR1_20_-0.7_360;20;360;-0.7;-0.6114296;0.00351731;0.01486377
SAR1_20_-0.7_396;20;396;-0.7;-0.6114296;0.00102059;0.00816421
SAR1_20_-0.7_4;20;4;-0.7;-0.6114296;0.01152289;0.99427042
SAR1_20_-0.7_50;20;50;-0.7;-0.6114296;0.02125665;0.72382424
SAR1_20_-0.7_9;20;9;-0.7;-0.6114296;0.01309973;0.97356326
SAR1_20_-0.9_110;20;110;-0.9;-0.8950928;0.01298518;0.39561603
SAR1_20_-0.9_160;20;160;-0.9;-0.8950928;0.01182422;0.25792179
SAR1_20_-0.9_18;20;18;-0.9;-0.8950928;0.0192553;0.925749
SAR1_20_-0.9_213;20;213;-0.9;-0.8950928;0.00765363;0.16444132
SAR1_20_-0.9_26;20;26;-0.9;-0.8950928;0.02028544;0.86920221
SAR1_20_-0.9_267;20;267;-0.9;-0.8950928;0.00598649;0.08531135
SAR1_20_-0.9_320;20;320;-0.9;-0.8950928;0.00270987;0.03487931
SAR1_20_-0.9_360;20;360;-0.9;-0.8950928;0.00238974;0.01530076
SAR1_20_-0.9_396;20;396;-0.9;-0.8950928;0.00061153;0.00565991
SAR1_20_-0.9_4;20;4;-0.9;-0.8950928;0.00436546;0.99829803
SAR1_20_-0.9_50;20;50;-0.9;-0.8950928;0.01551846;0.71465182
SAR1_20_-0.9_9;20;9;-0.9;-0.8950928;0.00912044;0.98867883
SAR1_20_0.3_110;20;110;0.3;0.34710513;0.01683696;0.32698554
SAR1_20_0.3_160;20;160;0.3;0.34710513;0.01536248;0.20410616
SAR1_20_0.3_18;20;18;0.3;0.34710513;0.02481107;0.83331449
SAR1_20_0.3_213;20;213;0.3;0.34710513;0.01056315;0.12053974
SAR1_20_0.3_26;20;26;0.3;0.34710513;0.02565228;0.76705989
SAR1_20_0.3_267;20;267;0.3;0.34710513;0.00757412;0.06156658
SAR1_20_0.3_320;20;320;0.3;0.34710513;0.00547348;0.02976009
SAR1_20_0.3_360;20;360;0.3;0.34710513;0.00350639;0.01537247
SAR1_20_0.3_396;20;396;0.3;0.34710513;0.00159899;0.00400283
SAR1_20_0.3_4;20;4;0.3;0.34710513;0.02386566;0.95610258
SAR1_20_0.3_50;20;50;0.3;0.34710513;0.02149481;0.61723878
SAR1_20_0.3_9;20;9;0.3;0.34710513;0.02514735;0.93520893
SAR1_20_0.5_110;20;110;0.5;0.52706011;0.02115066;0.22119614
