RhoReference;N;k;median_RCV_bar
0.9;30;720;0.048873055
-0.9;30;810;0.01705276
-0.7;30;810;0.020808515
-0.5;30;810;0.021655685
-0.3;30;810;0.018818605
0;30;810;0.017429725
0.3;30;810;0.01243871
0.5;30;810;0.01013745
0.7;30;810;0.009514615
0.9;30;810;0.0251408
-0.9;30;890;0.003290835
-0.7;30;890;0.0033135
-0.5;30;890;0.00342345
-0.3;30;890;0.003299595
0;30;890;0.00298311
0.3;30;890;0.00323301
0.5;30;890;0.00274942
0.7;30;890;0.002718555
0.9;30;890;0.003843575
